conceptId,term,category
110171000119107,Leg ulcer due to type 2 diabetes mellitus,type 2
110181000119105,Peripheral sensory neuropathy due to type 2 diabetes mellitus,type 2
1102351000000105,KPDM - ketosis-prone diabetes mellitus,unspecified
1103691000000102,Diabetes structured education programme offered,unspecified
1103701000000102,Diabetic retinopathy screening offered,unspecified
1108731000000100,Referral to online diabetes structured education programme,unspecified
1108741000000109,Referral to HeLP-Diabetes (Healthy Living for People with Diabetes) online self-management programme,unspecified
1110921000000100,QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation,unspecified
111231000119109,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus,type 2
111552007,Diabetes mellitus without complication,unspecified
111553002,Diabetes mellitus associated with unlisted condition,unspecified
111556005,Diabetic ketoacidosis without coma,unspecified
111557001,Diabetes with coma,unspecified
113131000000107,Informed consent for diabetes national audit,unspecified
113141000000103,Informed dissent for diabetes national audit,unspecified
1144894004,Peripheral autonomic neuropathy due to diabetes mellitus (disorder),unspecified
11530004,Brittle diabetes,unspecified
116981000000102,Diabetes clinical management plan,unspecified
117201000000103,Diabetic foot examination declined,unspecified
117211000000101,Diabetic retinopathy screening refused,unspecified
117391000000102,Informed consent for diabetes national audit,unspecified
117411000000102,Informed dissent for diabetes national audit,unspecified
1196922005,Neovascular glaucoma due to type II diabetes mellitus,type 2
1196923000,Neovascular glaucoma due to diabetes mellitus type 1,type 1
119831000119106,Hypoglycemia unawareness in type 2 diabetes mellitus (disorder),type 2
120711000119108,Hypoglycaemic unawareness in type 1 diabetes mellitus,type 1
120731000119103,Hypoglycemia due to type 2 diabetes mellitus (disorder),type 2
121461000000104,Pan retinal photocoagulation for diabetes,unspecified
1217044000,Ketosis-resistant diabetes mellitus,unspecified
1217068008,Fulminant type 1 diabetes mellitus (disorder),type 1
121721000000103,Diabetes clinical management plan,unspecified
1217674007,Neurotrophic keratitis due to diabetes mellitus (disorder),unspecified
121941000000107,Diabetic foot examination declined,unspecified
121951000000105,Diabetic retinopathy screening refused,unspecified
122131000000109,Informed consent for diabetes national audit,unspecified
122151000000102,Informed dissent for diabetes national audit,unspecified
122481000000101,Fibrocalculous pancreatic diabetes,unspecified
122541000000108,Pineal hyperplasia, insulin-resistant diabetes mellitus and somatic abnormalities,unspecified
1231625008,Tractional retinal detachment due to proliferative diabetic retinopathy (disorder),unspecified
1231650006,Combined rhegmatogenous and tractional retinal detachment due to proliferative diabetic retinopathy (disorder),unspecified
1231691008,Vitreous hemorrhage due to proliferative diabetic retinopathy (disorder),unspecified
1231698002,Tractional retinal detachment with macula involvement due to proliferative diabetic retinopathy,unspecified
1251386008,Disorder of skin due to diabetes mellitus,unspecified
1258861001,Family attended diabetes structured education programme,unspecified
1258862008,Caregiver attended diabetes structured education programme,unspecified
1258872006,Family referred to diabetes structured education program (situation),unspecified
1258873001,Caregiver referred to diabetes structured education programme,unspecified
1259048007,Brachial plexus lesion due to diabetes mellitus,unspecified
126534007,Diabetic mixed sensory-motor polyneuropathy,unspecified
126535008,Diabetic motor polyneuropathy,unspecified
127011001,Diabetic sensory polyneuropathy,unspecified
127013003,Diabetic renal disease,unspecified
127014009,Diabetic peripheral angiopathy,unspecified
127991000119101,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,type 2
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder),type 1
12811000119100,Complication due to diabetes mellitus type 2,type 2
1284985006,Diabetes mellitus management program (regime/therapy),unspecified
1287705005,Consultation for diabetes mellitus (procedure),unspecified
1290118005,Presymptomatic T1DM (type 1 diabetes mellitus),type 1
129599004,Large baby of diabetic mother,unspecified
1296524002,History of nocturnal hypoglycemia due to diabetes mellitus (situation),unspecified
1303420000,On maximum tolerated dose of medication for diabetes mellitus,unspecified
1303453005,No history of diabetes mellitus,unspecified
1306699009,Stable treated proliferative retinopathy due to diabetes mellitus (disorder),unspecified
1306700005,Stable treated proliferative retinopathy of both eyes due to diabetes mellitus,unspecified
1332436006,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus,type 1
1332441003,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus (disorder),type 1
1332442005,Hypertension in chronic kidney disease stage 3 due to type I diabetes mellitus,type 1
1332464001,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus (disorder),type 1
1332465000,Hypertension in chronic kidney disease stage 3B due to type II diabetes mellitus,type 2
1332466004,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,type 2
1332467008,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus,type 1
1332468003,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus,type 1
1332469006,Chronic kidney disease stage 3B due to type II diabetes mellitus,type 2
1332470007,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,type 2
1332471006,Chronic kidney disease stage 3B due to type 1 diabetes mellitus,type 1
1332472004,Chronic kidney disease stage 3A due to type I diabetes mellitus,type 1
134389002,Diabetes care by hospital only,unspecified
134395001,Diabetic retinopathy screening,unspecified
1344906007,Diabetic peripheral neuropathy absent,unspecified
1354552000,Mild diabetic macular oedema,unspecified
1354553005,Moderate macular oedema due to diabetes mellitus,unspecified
1354554004,Severe diabetic macular oedema,unspecified
1362341000000103,Diabetes care plan,unspecified
1362751000000101,Diabetes Eating Problem Survey - Revised score (observable entity),unspecified
1362831000000102,Diabetes Eating Problem Survey - Revised (assessment scale),unspecified
1362911000000103,Assessment using Diabetes Eating Problem Survey - Revised (procedure),unspecified
1363101000000107,Problem Areas in Diabetes score,unspecified
1363131000000101,Problem Areas in Diabetes,unspecified
1363151000000108,Assessment using Problem Areas in Diabetes (procedure),unspecified
1363951000000106,Paediatric diabetes care plan,unspecified
1368271000000101,Problem Areas in Diabetes 11-item score,unspecified
1373391000000108,Problem Areas in Diabetes 11-item,unspecified
1373401000000106,Assessment using Problem Areas in Diabetes 11-item,unspecified
1373411000000108,Problem Areas in Diabetes 5-item (assessment scale),unspecified
1373421000000102,Problem Areas in Diabetes 5-item score,unspecified
1373431000000100,Assessment using Problem Areas in Diabetes 5-item,unspecified
1373441000000109,Problem Areas in Diabetes 1-item (assessment scale),unspecified
1373451000000107,Problem Areas in Diabetes 1-item score (observable entity),unspecified
1373461000000105,Assessment using Problem Areas in Diabetes 1-item,unspecified
1373471000000103,Diabetes Treatment Satisfaction Questionnaire change version score (observable entity),unspecified
1373481000000101,Assessment using Diabetes Treatment Satisfaction Questionnaire change version,unspecified
1373521000000101,Type 1 Diabetes Distress Scale,type 1
1373531000000104,Type 1 Diabetes Distress Scale total score,type 1
1373541000000108,Assessment using Type 1 Diabetes Distress Scale (procedure),type 1
1373551000000106,Type 1 Diabetes Distress Scale Powerlessness score,type 1
1373561000000109,Type 1 Diabetes Distress Scale Management Distress score (observable entity),type 1
1373571000000102,Type 1 Diabetes Distress Scale Hypoglycemia Distress score (observable entity),type 1
1373581000000100,Type 1 Diabetes Distress Scale Negative Social Perceptions score,type 1
1373591000000103,Type 1 Diabetes Distress Scale Eating Distress score (observable entity),type 1
1373601000000109,Type 1 Diabetes Distress Scale Physician Distress score,type 1
1373611000000106,Type 1 Diabetes Distress Scale Friend/Family Distress score (observable entity),type 1
1373991000000107,Diabetes management self-efficacy scale United Kingdom 15-item (assessment scale),unspecified
1374001000000102,Assessment using diabetes management self-efficacy scale United Kingdom 15-item (procedure),unspecified
1374011000000100,DMSES UK (diabetes management self-efficacy scale United Kingdom) 15-item score,unspecified
1374031000000108,Diabetes Distress Scale 17 item Emotional Burden score (observable entity),unspecified
1374041000000104,DDS17 (Diabetes Distress Scale 17 item) Physician Distress score,unspecified
1374051000000101,Diabetes Distress Scale 17 item Regimen Distress score (observable entity),unspecified
1374061000000103,DDS17 (Diabetes Distress Scale 17 item) Interpersonal Distress score,unspecified
137931000119102,Hyperlipidemia due to type 2 diabetes mellitus,type 2
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus,type 1
138054001,Diabetic lipid lowering diet,unspecified
138055000,Diabetic weight reducing diet,unspecified
138058003,Diabetic diet,unspecified
138271008,(Relative: [with terminal illness] or [diabetic]) or (family illness NOS),unspecified
138409009,Diabetic association member,unspecified
138717002,H/O: diabetes mellitus,unspecified
138832004,H/O: Admission in last year for diabetes foot problem,unspecified
138881000119106,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,type 1
138891000119109,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),type 1
138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,type 2
138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),type 2
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,type 2
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder),type 2
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,type 2
140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder),type 2
140381000119104,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder),type 2
140391000119101,Ulcer of toe due to type 2 diabetes mellitus (disorder),type 2
140521000119107,Ischemic foot ulcer due to type 2 diabetes mellitus (disorder),type 2
140531000119105,Neuropathic foot ulcer due to type 2 diabetes mellitus (disorder),type 2
141196007,Retinal abnormality - diabetes-related,unspecified
141678002,O/E - Right diabetic foot at risk,unspecified
141679005,O/E - Left diabetic foot at risk,unspecified
141680008,Foot abnormality - diabetes-related,unspecified
142603005,Education score - diabetes,unspecified
142604004,Diabetes wellbeing questionnaire,unspecified
142605003,Diabetes treatment satisfaction questionnaire,unspecified
143085005,Hb. A1C - diabetic control NOS,unspecified
143127002,HbA1 - diabetic control,unspecified
143401000000102,QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation using preferred method of communication,unspecified
143911000000105,Registration for access to online diabetes self-management application,unspecified
143941000000106,Declined to register for access to online diabetes self-management application (situation),unspecified
144202009,Glucose tol. test diabetic,unspecified
1454081000000100,Assessment using Diabetes Self Management Questionnaire (procedure),unspecified
1464321000000108,Diabetes Self Management Questionnaire,unspecified
1464331000000105,Diabetes Self Management Questionnaire total score (observable entity),unspecified
1464341000000101,Assessment using Diabetes Self Management Questionnaire - Revised,unspecified
1464351000000103,Diabetes Self Management Questionnaire - Revised,unspecified
1464361000000100,Diabetes Self Management Questionnaire - Revised 20-item total score,unspecified
1464381000000109,Diabetes Self Management Questionnaire Eating Behaviour score (observable entity),unspecified
1464391000000106,Diabetes Self Management Questionnaire Physical Activity score,unspecified
1464401000000109,Diabetes Self Management Questionnaire Cooperation with diabetes team score,unspecified
1464411000000106,Diabetes Self Management Questionnaire Glucose Monitoring score,unspecified
1464421000000100,Diabetes Self Management Questionnaire - Revised Cooperation with diabetes team score (observable entity),unspecified
1464431000000103,Diabetes Self Management Questionnaire - Revised Eating Behaviour score (observable entity),unspecified
1464441000000107,Diabetes Self Management Questionnaire - Revised Physical Activity score (observable entity),unspecified
1464451000000105,Diabetes Self Management Questionnaire - Revised Glucose Monitoring score,unspecified
1464461000000108,Diabetes Self Management Questionnaire - Revised Medication Taking score (observable entity),unspecified
1465141000000104,Diabetes Self Management Questionnaire Medication Taking score,unspecified
1465281000000101,Diabetes Self Management Questionnaire - Revised 27-item total score (observable entity),unspecified
147975007,Diabetic monitoring (& [clinic]),unspecified
147976008,Initial diabetic assessment,unspecified
147977004,Follow-up diabetic assessment,unspecified
147978009,Diabetic on diet only,unspecified
147979001,Diabetic on oral treatment,unspecified
147980003,Diabetic on insulin,unspecified
147983001,Has seen dietitian - diabetes,unspecified
147984007,Understands diet - diabetes,unspecified
147985008,Injection sites (& diabetic),unspecified
147988005,Fundoscopy - diabetic check,unspecified
147991005,Diabetic drug side effects,unspecified
147992003,Diabetic treatment changed (& [date]),unspecified
147993008,Diabetic - good control,unspecified
147994002,Diabetic - poor control (& [unstable]),unspecified
147995001,Diabetic - cooperative patient,unspecified
147996000,Diabetic-uncooperative patient,unspecified
147997009,Diabetic - follow-up default,unspecified
147998004,Date diabetic treatment start,unspecified
147999007,Date diabetic treatment stopped,unspecified
148000001,Diabetes: practice programme,unspecified
148001002,Diabetes: shared care program,unspecified
148002009,Diabetes management plan given,unspecified
148003004,Diabetic annual review,unspecified
148004005,Annual diabetic blood test,unspecified
148005006,Diabetic monitoring NOS,unspecified
1481000119100,Diabetes mellitus type 2 without retinopathy,type 2
1491000119102,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,type 2
1501000119109,Proliferative diabetic retinopathy associated with type II diabetes mellitus,type 2
1511000119107,Diabetic peripheral neuropathy associated with type II diabetes mellitus,type 2
151107002,Diabetic crisis monitoring,unspecified
151108007,Diabetic stabilization,unspecified
151368001,Diabetic leaflet given,unspecified
151709009,Admit diabetic emergency,unspecified
151742005,Non-urgent diabetic admission,unspecified
151766004,Referral to diabetologist,unspecified
151821003,Refer, diabetic liaison nurse,unspecified
151850005,Referral to diabetes nurse,unspecified
151952003,Diabetology domiciliary visit requested,unspecified
151981002,Diabetology D.V. done,unspecified
152011007,Listed for Diabetology admissn,unspecified
1521000119100,Diabetic foot ulcer associated with type 2 diabetes mellitus,type 2
152138003,Private referral to diabetologist,unspecified
1531000119102,Diabetic dermopathy associated with diabetes mellitus type 2,type 2
153432003,Seen in diabetic clinic,unspecified
153461002,Seen in diabetic eye clinic,unspecified
153683009,Attending diabetes clinic,unspecified
153931004,Diabetes administration: [monitoring] or [clinic],unspecified
153932006,Attends diabetes monitoring,unspecified
153933001,Refuses diabetes monitoring,unspecified
153934007,Diabetes monitoring default,unspecified
153935008,Diabetes monitoring first letter,unspecified
153936009,Diabetes monitoring second letter,unspecified
153937000,Diabetes monitoring third letter,unspecified
153938005,Diabetes monitoring verbal invite,unspecified
153939002,Diabetes monitoring telephone invite,unspecified
153940000,Diabetes monitoring deleted,unspecified
153941001,Diabetes monitored (& check done),unspecified
153942008,Diabetes monitoring admin.NOS,unspecified
1541000119106,Diabetic skin ulcer associated with type 2 diabetes mellitus,type 2
154671004,Diabetes mellitus (& [ketoacidosis]),unspecified
154672006,Diabetes mellitus: [adult onset] or [noninsulin dependent],type 2
154673001,Diabetes mellitus: [juvenile] or [insulin dependent],type 1
154674007,Diabetes mellitus with no mention of complication,unspecified
154675008,Diabetes with ketoacidosis - no coma,unspecified
154676009,Diabetic coma,unspecified
154678005,Diabetes + eye manifestation (& [cataract] or [retinopathy]),unspecified
154679002,Proliferative diabetic retinopathy,unspecified
154680004,Background diabetic retinopathy,unspecified
154681000,Preproliferative diabetic retinopathy,unspecified
154682007,Diabetic maculopathy,unspecified
154683002,Diabetes + neuropathy (& [amyotrophy]),unspecified
154684008,Diabetic mononeuritis multiplex,unspecified
154685009,Diabetic mononeuritis NOS,unspecified
154686005,Acute painful diabetic neuropathy,unspecified
154687001,Diabetes: [peripheral circulatory disease] or [gangrene],unspecified
154688006,Insulin-treated non-insulin-dependent diabetes mellitus,type 2
154689003,Diabetes with other complications,unspecified
1551000119108,Nonproliferative diabetic retinopathy associated with type II diabetes mellitus,type 2
155107006,Diabetic retinopathy,unspecified
155114008,Advanced diabetic retinal disease,unspecified
155129005,(Secondary cataract) or (diabetic cataract),unspecified
1561000119105,Diabetic peripheral neuropathy associated with type I diabetes mellitus,type 1
156138000,Diabetes mellitus during pregnancy, childbirth and the puerperium,unspecified
1571000119104,Mixed hyperlipidemia associated with type 1 diabetes mellitus (disorder),type 1
157141000119108,Proteinuria due to type 2 diabetes mellitus,type 2
157143001,Perinatal endocrine &/or metabolic problem (& [diabetes]),unspecified
158025001,Adverse reaction to insulins and antidiabetic agents,unspecified
15936501000119100,Inflammatory dermatosis due to type 2 diabetes mellitus (disorder),type 2
1597671000000104,National Health Service diabetic eye screening programme (regime/therapy),unspecified
1597691000000100,Diabetic digital retinal screening image quality ungradable,unspecified
1597711000000103,Diabetic digital retinal screening image quality of left eye ungradable,unspecified
1597721000000109,Diabetic digital retinal screening image quality of right eye ungradable,unspecified
1597731000000106,Diabetic digital retinal screening image quality of bilateral eyes inadequate for grading (finding),unspecified
160666004,Diabetic lipid lowering diet,unspecified
160667008,Diabetic weight reducing diet,unspecified
160670007,DD - Diabetic diet,unspecified
161102006,Diabetic association member,unspecified
161445009,H/O: diabetes mellitus,unspecified
161564001,H/O: Admission in last year for diabetes foot problem,unspecified
162661000,Diabetes resolved,unspecified
163997001,Retinal abnormality - diabetes-related,unspecified
164483006,Foot abnormality - diabetes-related,unspecified
164491000000101,Diabetes resolved,unspecified
164493004,O/E - Right diabetic foot at risk,unspecified
164494005,O/E - Left diabetic foot at risk,unspecified
164495006,Foot abnormality - diabetes-related,unspecified
164881000119109,Foot ulcer due to type 1 diabetes mellitus (disorder),type 1
164971000119101,Type 2 diabetes mellitus controlled by diet (finding),type 2
165204006,Education score - diabetes,unspecified
165205007,Diabetes wellbeing questionnaire,unspecified
165206008,Diabetes treatment satisfaction questionnaire,unspecified
165683005,Hb. A1C - diabetic control NOS,unspecified
165723000,HbA1 - diabetic control,unspecified
166928007,Glucose tol. test diabetic,unspecified
16697421000119103,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1,type 1
16697471000119102,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder),type 1
16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder),type 1
167251000000103,O/E - right eye stable treated proliferative diabetic retinopathy,unspecified
167261000000100,O/E - left eye stable treated proliferative diabetic retinopathy,unspecified
167361000000109,O/E - right chronic diabetic foot ulcer,unspecified
167371000000102,O/E - left chronic diabetic foot ulcer,unspecified
16745051000119107,Nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),type 2
16745131000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2
16745211000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1,type 1
16745411000119104,Mild nonproliferative retinopathy of both eyes due to diabetes mellitus type 1,type 1
16745531000119108,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2
16745611000119102,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1,type 1
16745651000119101,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 2,type 2
16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder),type 1
16745931000119102,Mild nonproliferative retinopathy of both eyes due to diabetes mellitus type 2,type 2
16746131000119105,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2
16746261000119108,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 2,type 2
16746341000119103,Moderate nonproliferative retinopathy of both eyes due to diabetes mellitus type 2,type 2
16746661000119106,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1,type 1
16746741000119102,Nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder),type 1
16746901000119101,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2
16746941000119104,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder),type 1
16747021000119109,Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 2,type 2
16747101000119101,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder),type 1
16747141000119104,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),type 2
16747341000119101,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 1,type 1
16747661000119109,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 2,type 2
16747741000119100,Proliferative retinopathy of left eye due to diabetes mellitus type 1,type 1
16747901000119104,Proliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2
16748141000119100,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 2,type 2
16748741000119101,Proliferative retinopathy of right eye due to diabetes mellitus type 1,type 1
16749661000119102,Proliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),type 2
16749781000119101,Proliferative retinopathy of bilateral eyes due to diabetes mellitus type 1,type 1
16890881000119106,History of proliferative diabetic retinopathy,unspecified
16890921000119104,History of nonproliferative diabetic retinopathy,unspecified
16891151000119103,Coronary artery disease due to type 2 diabetes mellitus (disorder),type 2
16891191000119108,Coronary artery disease due to type 1 diabetes mellitus,type 1
169561000000105,Patient diabetes education review,unspecified
170061000000103,Transition of diabetes care options discussed,unspecified
170281000000100,Referral to diabetes preconception counselling clinic,unspecified
170311000000102,Referral to diabetes structured education programme,unspecified
170742000,Diabetic monitoring,unspecified
170743005,Initial diabetic assessment,unspecified
170744004,Follow-up diabetic assessment,unspecified
170745003,Diabetic on diet only,unspecified
170746002,Diabetic on oral treatment,unspecified
170747006,Diabetic on insulin,unspecified
170752001,Has seen dietician - diabetes,unspecified
170753006,Understands diet - diabetes,unspecified
170754000,Injection sites (& diabetic),unspecified
170757007,Fundoscopy - diabetic check,unspecified
170760000,Diabetic drug side effects,unspecified
170761001,Diabetic treatment changed,unspecified
170763003,Diabetic - good control,unspecified
170764009,Diabetic - poor control (& unstable),unspecified
170768007,Diabetic - poor control NOS,unspecified
170769004,Diabetic - cooperative patient,unspecified
170770003,Diabetic-uncooperative patient,unspecified
170771004,Diabetic - follow-up default,unspecified
170772006,Date diabetic treatment start,unspecified
170773001,Date diabetic treatment stopped,unspecified
170774007,Diabetes: practice program,unspecified
170775008,Diabetes: shared care programme,unspecified
170776009,Diabetes management plan given,unspecified
170777000,Diabetic annual review,unspecified
170778005,Annual diabetic blood test,unspecified
170779002,Diabetic monitoring NOS,unspecified
170841000000109,Attended diabetes structured education programme,unspecified
171771000000103,Diabetes resolved,unspecified
171851000000104,O/E - right eye stable treated proliferative diabetic retinopathy,unspecified
171861000000101,O/E - left eye stable treated proliferative diabetic retinopathy,unspecified
171961000000107,O/E - right chronic diabetic foot ulcer,unspecified
171971000000100,O/E - left chronic diabetic foot ulcer,unspecified
174141000000106,Patient diabetes education review,unspecified
